t,event_type,task_id,robot_id,payload_json
22.000,ANNOUNCE,survey-18-0004,r04,"{""deadline"":23.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.4000000000000001],""sender"":""r04"",""t"":22.0,""t_ref"":0.0,""task_id"":""survey-18-0004"",""type"":""survey""}"
22.000,ANNOUNCE,survey-19-0005,r05,"{""deadline"":23.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.4000000000000001],""sender"":""r05"",""t"":22.0,""t_ref"":0.0,""task_id"":""survey-19-0005"",""type"":""survey""}"
22.100,BID,survey-19-0005,r01,"{""cost"":0.48579569036329434,""sender"":""r01"",""t"":22.1,""task_id"":""survey-19-0005""}"
22.500,AWARD,roi-027,r05,"{""sender"":""r05"",""t"":22.5,""task_id"":""roi-027"",""winners"":[""r05"",""r01"",""r04""]}"
22.600,RELEASE,survey-16-0002,r05,"{""reason"":""preempted"",""sender"":""r05"",""t"":22.6,""task_id"":""survey-16-0002""}"
23.000,ANNOUNCE,survey-17-0003,r03,"{""deadline"":24.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,1.4000000000000001],""sender"":""r03"",""t"":23.0,""t_ref"":0.0,""task_id"":""survey-17-0003"",""type"":""survey""}"
23.000,ANNOUNCE,survey-18-0004,r04,"{""deadline"":24.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.4000000000000001],""sender"":""r04"",""t"":23.0,""t_ref"":0.0,""task_id"":""survey-18-0004"",""type"":""survey""}"
23.000,AWARD,survey-19-0005,r05,"{""sender"":""r05"",""t"":23.0,""task_id"":""survey-19-0005"",""winners"":[""r01""]}"
24.000,ANNOUNCE,survey-20-0006,r06,"{""deadline"":25.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,1.8],""sender"":""r06"",""t"":24.0,""t_ref"":0.0,""task_id"":""survey-20-0006"",""type"":""survey""}"
24.000,ANNOUNCE,survey-21-0007,r00,"{""deadline"":25.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,1.8],""sender"":""r00"",""t"":24.0,""t_ref"":0.0,""task_id"":""survey-21-0007"",""type"":""survey""}"
24.000,ANNOUNCE,survey-22-0008,r01,"{""deadline"":25.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,1.8],""sender"":""r01"",""t"":24.0,""t_ref"":0.0,""task_id"":""survey-22-0008"",""type"":""survey""}"
24.000,ANNOUNCE,survey-17-0003,r03,"{""deadline"":25.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,1.4000000000000001],""sender"":""r03"",""t"":24.0,""t_ref"":0.0,""task_id"":""survey-17-0003"",""type"":""survey""}"
24.000,ANNOUNCE,survey-18-0004,r04,"{""deadline"":25.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.4000000000000001],""sender"":""r04"",""t"":24.0,""t_ref"":0.0,""task_id"":""survey-18-0004"",""type"":""survey""}"
25.000,ANNOUNCE,survey-21-0007,r00,"{""deadline"":26.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,1.8],""sender"":""r00"",""t"":25.0,""t_ref"":0.0,""task_id"":""survey-21-0007"",""type"":""survey""}"
25.000,ANNOUNCE,survey-22-0008,r01,"{""deadline"":26.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,1.8],""sender"":""r01"",""t"":25.0,""t_ref"":0.0,""task_id"":""survey-22-0008"",""type"":""survey""}"
25.000,FAILED,survey-17-0003,r03,{}
25.000,FAILED,survey-18-0004,r04,{}
25.000,ANNOUNCE,survey-20-0006,r06,"{""deadline"":26.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,1.8],""sender"":""r06"",""t"":25.0,""t_ref"":0.0,""task_id"":""survey-20-0006"",""type"":""survey""}"
25.000,DETECTED,roi-011,r01,"{""event_created_at"":20.15719059344432,""latency"":4.842809406555681}"
25.000,ANNOUNCE,roi-011,r01,"{""deadline"":26.0,""duration"":10.0,""k"":1.0,""lam"":0.00693,""n_req"":3,""p0"":0.8,""pos"":[0.6515944159011384,1.2922246907543744],""sender"":""r01"",""t"":25.0,""t_ref"":25.0,""task_id"":""roi-011"",""type"":""surround""}"
25.100,BID,roi-011,r00,"{""cost"":0.45505222370215725,""sender"":""r00"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r01,"{""cost"":0.2723679019216446,""sender"":""r01"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r02,"{""cost"":0.42889019682273244,""sender"":""r02"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r03,"{""cost"":0.3564363082086132,""sender"":""r03"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r04,"{""cost"":0.3495699134662281,""sender"":""r04"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r05,"{""cost"":0.4636961920741901,""sender"":""r05"",""t"":25.1,""task_id"":""roi-011""}"
25.100,BID,roi-011,r06,"{""cost"":0.4337388865643169,""sender"":""r06"",""t"":25.1,""task_id"":""roi-011""}"
26.000,ANNOUNCE,survey-23-0009,r02,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.8],""sender"":""r02"",""t"":26.0,""t_ref"":0.0,""task_id"":""survey-23-0009"",""type"":""survey""}"
26.000,ANNOUNCE,survey-24-0010,r03,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.8],""sender"":""r03"",""t"":26.0,""t_ref"":0.0,""task_id"":""survey-24-0010"",""type"":""survey""}"
26.000,ANNOUNCE,survey-00-0011,r00,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,0.2],""sender"":""r00"",""t"":26.0,""t_ref"":7.5,""task_id"":""survey-00-0011"",""type"":""survey""}"
26.000,ANNOUNCE,survey-21-0007,r00,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,1.8],""sender"":""r00"",""t"":26.0,""t_ref"":0.0,""task_id"":""survey-21-0007"",""type"":""survey""}"
26.000,ANNOUNCE,survey-22-0008,r01,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,1.8],""sender"":""r01"",""t"":26.0,""t_ref"":0.0,""task_id"":""survey-22-0008"",""type"":""survey""}"
26.000,AWARD,roi-011,r01,"{""sender"":""r01"",""t"":26.0,""task_id"":""roi-011"",""winners"":[""r01"",""r04"",""r03""]}"
