baseline,metric,label,mean_improvement,ci_low,ci_high,p_raw,win_rate,relative_improvement,p_holm
nearest_greedy,quality_score,Composite operational score,0.03050347191955044,0.015064999903418337,0.04617577108301167,0.00039998000099995,0.775,0.036716842580862497,0.0039998000099995
nearest_greedy,completion_rate,Completion rate,0.030357142857142853,0.006249999999999994,0.05535714285714285,0.024698765061746914,0.65,0.034205231388329975,0.1481925903704815
nearest_greedy,mean_completion_time,Mean completion time [s],10.08055238289975,6.463723197336421,13.717533173612157,4.999750012499375e-05,0.875,0.21073268851553031,0.0005499725013749313
nearest_greedy,load_imbalance,Load imbalance [tasks],0.4207189025319491,0.17223278267512168,0.660634124487839,0.0014499275036248187,0.7125,0.22842198181785509,0.013049347532623368
nearest_greedy,coverage_fraction,Coverage fraction,0.001234374999999996,-0.008343750000000006,0.01032851562499997,0.8030598470076497,0.475,0.001257661386611474,1.0
nearest_greedy,mean_cell_idleness,Mean cell idleness [s],-0.8340149750415907,-3.1077688435940036,1.4535153078203005,0.4854257287135643,0.45,-0.021866483676360002,1.0
nearest_greedy,max_cell_idleness,Max cell idleness [s],2.1,-13.9753125,17.3125,0.7927103644817759,0.5625,0.007862591847241075,1.0
nearest_greedy,mean_detection_latency,Detection latency [s],-1.1379156200527383,-3.083801369547607,0.733159604630631,0.24748762561871906,0.425,-0.0774146988716248,1.0
nearest_greedy,messages_per_completed,Messages/completed task,-1.9792835862755775,-3.3768646831371236,-0.6040416136500387,0.007849607519624019,0.3,-0.05171007593867234,0.05494725263736813
nearest_greedy,mean_final_battery,Mean final battery,-0.0056550400000018874,-0.008965021714289324,-0.002314521714287515,0.0019499025048747563,0.3,-0.010842943086748233,0.01559922003899805
nearest_greedy,depleted_robots,Depleted robots,0.0,0.0,0.0,1.0,0.5,0.0,1.0
nearest_greedy_no_survey,quality_score,Composite operational score,0.04841403335414951,0.030524046789162405,0.06623759953195084,4.999750012499375e-05,0.825,0.05955971377087707,0.0005499725013749313
nearest_greedy_no_survey,completion_rate,Completion rate,0.05714285714285714,0.020535714285714272,0.09464285714285715,0.004549772511374431,0.6625,0.06639004149377593,0.023998800059997
nearest_greedy_no_survey,mean_completion_time,Mean completion time [s],9.229094056470492,5.4699471033369935,13.296884937479224,4.999750012499375e-05,0.75,0.19642942971131952,0.0005499725013749313
nearest_greedy_no_survey,load_imbalance,Load imbalance [tasks],0.6669736133496627,0.44389946155408866,0.8965635311875086,4.999750012499375e-05,0.8375,0.3194158723174442,0.0005499725013749313
nearest_greedy_no_survey,coverage_fraction,Coverage fraction,-0.015296875000000001,-0.02378125,-0.007874999999999998,9.99950002499875e-05,0.2375,-0.015327290091274873,0.0006999650017499125
nearest_greedy_no_survey,mean_cell_idleness,Mean cell idleness [s],-3.793608153078197,-6.7086620008319455,-1.113679305324453,0.010699465026748662,0.4,-0.10782915644212054,0.04279786010699465
nearest_greedy_no_survey,max_cell_idleness,Max cell idleness [s],-26.2875,-43.3884375,-9.974687500000027,0.0039998000099995,0.3,-0.11012777545035611,0.023998800059997
nearest_greedy_no_survey,mean_detection_latency,Detection latency [s],1.2735874355893801,-1.6689642104725957,4.255082359742551,0.41577921103944804,0.6,0.07443325033063038,1.0
nearest_greedy_no_survey,messages_per_completed,Messages/completed task,-29.55545930590724,-30.950152177668873,-28.235397939364383,4.999750012499375e-05,0.0,-2.76209444857682,0.0005499725013749313
nearest_greedy_no_survey,mean_final_battery,Mean final battery,0.00036203428571437296,-0.003508885714286245,0.004523817142858054,0.8634068296585171,0.45,0.0007022646816699855,1.0
nearest_greedy_no_survey,depleted_robots,Depleted robots,0.0,0.0,0.0,1.0,0.5,0.0,1.0
random_assignment,quality_score,Composite operational score,0.04791377548308007,0.02936404325705198,0.06722798639358223,4.999750012499375e-05,0.8,0.05890803509356764,0.0005499725013749313
random_assignment,completion_rate,Completion rate,0.12946428571428573,0.08125000000000002,0.17946428571428572,4.999750012499375e-05,0.775,0.16421291053227632,0.0005499725013749313
random_assignment,mean_completion_time,Mean completion time [s],21.846739572934485,17.875185907299063,25.769216911007803,4.999750012499375e-05,0.95,0.36654423078173154,0.0005499725013749313
random_assignment,load_imbalance,Load imbalance [tasks],-0.07528285746147778,-0.291763010202859,0.12734728058062147,0.4953252337383131,0.4875,-0.05593713002381277,1.0
random_assignment,coverage_fraction,Coverage fraction,0.015906249999999993,0.0036867187499999995,0.029234765624999954,0.014749262536873156,0.65,0.01645225935742452,0.08849557522123894
random_assignment,mean_cell_idleness,Mean cell idleness [s],8.610277870216315,5.585698252911824,11.782454700499166,4.999750012499375e-05,0.8,0.18094315482653026,0.0005499725013749313
random_assignment,max_cell_idleness,Max cell idleness [s],19.3,5.8625,33.5375,0.00679966001699915,0.725,0.06788902079760806,0.04759762011899405
random_assignment,mean_detection_latency,Detection latency [s],-0.6827095354572797,-3.18982200610892,1.7124246167766297,0.5935703214839259,0.475,-0.04505094493066437,1.0
random_assignment,messages_per_completed,Messages/completed task,3.460716787794161,0.719058111889937,6.754433014418889,0.01974901254937253,0.6,0.07916261303560178,0.09874506274686265
random_assignment,mean_final_battery,Mean final battery,-0.0029115828571435673,-0.006642046714287668,0.000786115285714,0.13884305784710765,0.325,-0.005612174877339245,0.5553722313884306
random_assignment,depleted_robots,Depleted robots,0.0,0.0,0.0,1.0,0.5,0.0,1.0
