beta,gamma,delta,theta_hyst,quality_score,completion_rate,mean_completion_time,load_imbalance,max_cell_idleness,mean_final_battery,mean_detection_latency,messages_per_completed
0.5,0.0,1.5,0.1,0.8738626222232695,0.9151785714285714,36.42469073498965,1.0970377016568726,253.4375,0.5124149999999396,14.500245068771239,40.06133569128134
2.0,0.0,0.5,0.1,0.8704149043336789,0.8839285714285714,33.37918060200669,1.0319294828880907,241.625,0.5082816857142234,16.92232449329015,42.3544356187291
1.0,0.0,0.5,0.1,0.866444258250987,0.90625,34.86793715795074,1.234231940350885,258.0625,0.5072839428570806,14.979041542568943,40.312963757257236
1.0,0.0,1.5,0.1,0.8659493227146399,0.9017857142857143,37.924770425226946,1.160398272793452,260.0,0.5085287714285098,14.691743103104887,40.89998626373627
2.0,0.0,1.5,0.1,0.8593312768363456,0.8839285714285714,35.099322394091416,1.2439911201380105,244.0,0.5098595428570807,15.258093737936925,42.164959587513934
0.5,0.0,0.5,0.1,0.8509070358717188,0.8883928571428572,35.284240537240535,1.456745135003442,255.0625,0.5148106571427988,11.974419756008038,40.86032509157509
2.0,0.5,1.5,0.1,0.8440913643419167,0.8973214285714286,36.959610377439326,1.589690416504579,295.5,0.5108089428570838,16.069872134170144,41.81984283625731
2.0,0.5,0.5,0.1,0.8335220312696117,0.875,35.84167871602082,1.6328059174230727,297.125,0.5123236857142278,12.862935084385,42.769948872637656
0.0,0.0,0.5,0.1,0.8096658138719834,0.84375,44.67127731990232,2.0137216643832505,241.9375,0.5201740285713689,11.82066686116006,41.85290242165242
1.0,0.5,1.5,0.1,0.809353445202347,0.84375,41.923994104579634,2.0865349226604817,259.875,0.518280599999945,14.542423124566108,43.323381180223286
2.0,1.0,0.5,0.1,0.8055667712985247,0.8571428571428572,42.89474652629344,2.0785499830038394,277.5,0.5098675999999426,18.3698676239903,43.59070367064074
2.0,1.0,1.5,0.1,0.8051891481151401,0.8571428571428572,44.38636507936508,2.0770270311917813,281.875,0.5105900571427999,19.66424437612731,43.63106610165434
1.0,0.5,0.5,0.1,0.8004675553824776,0.8303571428571429,46.817585821988,2.081359296220076,263.25,0.5206091142856601,13.384078390635986,43.6189476284585
0.0,0.0,1.5,0.1,0.7972786673928869,0.8125,47.43583792965347,2.038206947511698,244.25,0.5181704857142237,13.384277559155134,43.17580631751028
0.5,0.5,0.5,0.1,0.791488998875438,0.8571428571428572,45.776917851170566,2.6305420790701457,259.6875,0.5192393999999473,17.47216215521263,42.36694676700112
0.5,0.5,1.5,0.1,0.7890603700314174,0.8348214285714286,45.89341739329511,2.510635354397271,259.6875,0.5197805714285191,14.872239816233453,43.05436083240431
1.0,1.0,0.5,0.1,0.7865255122571073,0.8526785714285714,47.729300143998515,2.582591760265029,296.25,0.5201740285713763,12.756809116984885,41.23065240616871
1.0,1.0,1.5,0.1,0.7830699790084434,0.8258928571428571,49.990511363636365,2.4273728043367013,295.5,0.520078685714234,11.384408428762567,42.82905092592593
0.5,1.0,0.5,0.1,0.7713068272474937,0.8169642857142857,61.54233066361556,2.6118086311602915,271.0625,0.5236130857142358,14.21395725630302,41.82231407322654
0.0,1.0,0.5,0.1,0.7648437213046784,0.7321428571428571,68.49020094409,2.034086036251565,252.125,0.5198947142856652,13.74501842664089,45.83577845854061
0.5,1.0,1.5,0.1,0.7634112909265602,0.78125,67.07773341242091,2.5172644444514503,265.875,0.5224286857142357,14.810687099210623,43.88215222277722
0.0,0.5,0.5,0.1,0.7612285412287133,0.7901785714285714,65.34219733768647,2.6004161969549786,270.5625,0.5230531142856647,13.48210456689977,42.22398431882127
0.0,0.5,1.5,0.1,0.7541897838824041,0.7544642857142857,70.63431484376046,2.3737686214491727,280.5,0.5272683428570937,13.734974922511567,45.07266185182207
0.0,1.0,1.5,0.1,0.7293176315703056,0.6875,71.23943902223508,2.5281112957961396,263.875,0.5167859999999519,13.08760119646435,48.98109616991196
