seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error,quality_score
1000,market,28,27,27,25,0,2,0.8928571428571429,0.9642857142857143,32.924,23.599999999999994,0.991875,5.29,1.5518257844571737,41.68,6276.84,1042,156921,30.427787021630618,292.5,20.234098977409957,28,0.5149140571427965,0.15379839999997874,0.24765635595659494,0,300.0,67.82399999999862,2,0,0,0.8493083148418114
1000,nearest_greedy,28,28,28,26,0,2,0.9285714285714286,1.0,37.10384615384615,36.75,1.0,5.333333333333333,1.355261854357877,35.96153846153846,5357.538461538462,935,139296,28.696772046589015,289.0,15.952137564036283,0,0.5127332571427919,0.14199199999997913,0.23630127646173865,0,300.0,69.44799999999832,3,0,0,0.872382853832202
1000,nearest_greedy_no_survey,28,27,27,22,0,5,0.7857142857142857,0.9642857142857143,51.75,41.99999999999999,1.0,5.333333333333333,1.8405855323893037,12.181818181818182,1194.5454545454545,268,26280,35.12592346089849,249.5,5.752617495928477,0,0.5299647999999471,0.19621119999997733,0.2449343275978458,0,300.0,56.61599999999883,3,0,0,0.8017996697018328
1000,random_assignment,28,28,28,27,0,1,0.9642857142857143,1.0,44.87407407407408,42.0,0.995,5.306666666666667,0.989743318610787,33.111111111111114,5050.444444444444,894,136362,35.349351081530756,238.0,19.23785184975057,0,0.5013350857142218,0.12710239999997963,0.25016495372373915,0,300.0,77.93599999999762,3,0,0,0.8928115473624453
1001,market,28,28,28,24,0,4,0.8571428571428571,1.0,43.79583333333334,36.4,0.979375,5.223333333333334,1.178030178747903,45.0,7213.291666666667,1080,173119,59.369650582362745,300.0,18.236165274670306,18,0.5451874285713808,0.15146719999997882,0.25070072929978865,0,300.0,45.2799999999999,3,0,0,0.8481983477469708
1001,nearest_greedy,28,28,28,26,0,2,0.9285714285714286,1.0,44.61538461538461,44.55,0.946875,5.05,1.665986255670086,36.11538461538461,5758.7692307692305,939,149728,52.84382695507484,300.0,11.07545098895602,0,0.5349709714285199,0.1368031999999793,0.25530331296711867,0,300.0,52.88799999999961,3,0,0,0.8497165622283273
1001,nearest_greedy_no_survey,28,25,25,20,1,4,0.7142857142857143,0.8928571428571429,66.67,65.55000000000001,0.950625,5.07,1.749635530559413,10.65,1071.95,213,21439,69.20599001663892,300.0,7.575797259142423,0,0.556467428571381,0.20124959999997716,0.23558096434877634,0,300.0,36.87999999999989,3,0,0,0.7614957200873096
1001,random_assignment,28,27,27,23,0,4,0.8214285714285714,0.9642857142857143,67.33043478260869,73.4,0.83625,4.46,0.7559289460184545,42.608695652173914,7058.739130434783,980,162351,72.09281198003328,300.0,18.34555209262238,0,0.5377641142856652,0.145676799999979,0.2584767090740742,0,300.0,50.80799999999963,3,0,0,0.8332120367982402
1002,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,45.31304347826087,30.80000000000001,0.96,5.12,2.0,44.21739130434783,6878.304347826087,1017,158201,50.631114808652235,300.0,31.444460340354645,17,0.5364534857142355,0.16943999999997822,0.25404553265038105,0,300.0,51.783999999999544,3,0,0,0.79245108366933
1002,nearest_greedy,28,26,26,21,1,4,0.75,0.9285714285714286,62.87619047619048,50.10000000000002,0.995,5.306666666666667,2.6649654437396615,44.95238095238095,7259.523809523809,944,152450,43.920632279534104,288.5,17.496795610236934,0,0.5351965714285176,0.1642511999999784,0.24391959319694678,0,300.0,52.71999999999992,3,0,0,0.7434006822878744
1002,nearest_greedy_no_survey,28,28,28,25,0,3,0.8928571428571429,1.0,32.56,30.5,1.0,5.333333333333333,1.178030178747903,10.16,979.08,254,24477,22.168585690515787,168.0,16.818439263393998,0,0.5035373714285036,0.1583103999999786,0.23497417372227708,0,300.0,76.2959999999978,3,0,0,0.8718577450890141
