beta,gamma,delta,theta_hyst,quality_score,completion_rate,mean_completion_time,load_imbalance,max_cell_idleness,mean_final_battery,mean_detection_latency,messages_per_completed
0.5,0.0,1.5,0.1,0.8738626222232695,0.9151785714285714,36.42469073498965,1.0970377016568726,253.4375,0.5124149999999396,14.500245068771239,40.06133569128134
2.0,0.0,0.5,0.1,0.8704149043336789,0.8839285714285714,33.37918060200669,1.0319294828880907,241.625,0.5082816857142234,16.92232449329015,42.3544356187291
1.0,0.0,0.5,0.1,0.866444258250987,0.90625,34.86793715795074,1.234231940350885,258.0625,0.5072839428570806,14.979041542568943,40.312963757257236
2.0,0.0,1.5,0.1,0.8593312768363456,0.8839285714285714,35.099322394091416,1.2439911201380105,244.0,0.5098595428570807,15.258093737936925,42.164959587513934
0.5,0.0,0.5,0.1,0.8509070358717188,0.8883928571428572,35.284240537240535,1.456745135003442,255.0625,0.5148106571427988,11.974419756008038,40.86032509157509
0.0,0.0,0.5,0.1,0.8096658138719834,0.84375,44.67127731990232,2.0137216643832505,241.9375,0.5201740285713689,11.82066686116006,41.85290242165242
1.0,0.5,1.5,0.1,0.809353445202347,0.84375,41.923994104579634,2.0865349226604817,259.875,0.518280599999945,14.542423124566108,43.323381180223286
1.0,0.5,0.5,0.1,0.8004675553824776,0.8303571428571429,46.817585821988,2.081359296220076,263.25,0.5206091142856601,13.384078390635986,43.6189476284585
0.5,0.5,0.5,0.1,0.791488998875438,0.8571428571428572,45.776917851170566,2.6305420790701457,259.6875,0.5192393999999473,17.47216215521263,42.36694676700112
1.0,1.0,0.5,0.1,0.7865255122571073,0.8526785714285714,47.729300143998515,2.582591760265029,296.25,0.5201740285713763,12.756809116984885,41.23065240616871
0.5,1.0,0.5,0.1,0.7713068272474937,0.8169642857142857,61.54233066361556,2.6118086311602915,271.0625,0.5236130857142358,14.21395725630302,41.82231407322654
0.5,1.0,1.5,0.1,0.7634112909265602,0.78125,67.07773341242091,2.5172644444514503,265.875,0.5224286857142357,14.810687099210623,43.88215222277722
0.0,0.5,0.5,0.1,0.7612285412287133,0.7901785714285714,65.34219733768647,2.6004161969549786,270.5625,0.5230531142856647,13.48210456689977,42.22398431882127
0.0,0.5,1.5,0.1,0.7541897838824041,0.7544642857142857,70.63431484376046,2.3737686214491727,280.5,0.5272683428570937,13.734974922511567,45.07266185182207
