lambda_factor,seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error
0.3333333333333333,20000,market,28,28,28,26,0,2,0.9285714285714286,1.0,27.765384615384612,25.69999999999999,1.0,5.333333333333333,1.355261854357877,25.0,3226.4615384615386,650,83888,27.87044925124792,205.5,41.18696892183364,24,0.5010772571427957,0.09837599999998618,0.2551489372003158,0,300.0,78.1279999999976,3,0,0
0.3333333333333333,20001,market,28,28,28,27,0,1,0.9642857142857143,1.0,44.75185185185185,25.700000000000003,0.99875,5.326666666666667,1.6035674514745464,28.037037037037038,3909.8888888888887,757,105567,44.178768718802,297.5,54.214704218366016,19,0.5329942857142329,0.16191999999997847,0.24532204499637597,0,300.0,54.35999999999971,3,0,0
0.3333333333333333,20002,market,28,28,28,27,0,1,0.9642857142857143,1.0,39.58518518518518,29.80000000000001,1.0,5.333333333333333,0.7559289460184545,25.925925925925927,3517.037037037037,700,94960,38.77753743760401,239.5,56.617236250576774,18,0.5124002285713685,0.1343215999999794,0.24854123466363975,0,300.0,69.6959999999985,3,0,0
0.3333333333333333,20003,market,28,28,28,28,0,0,1.0,1.0,44.292857142857144,39.599999999999994,1.0,5.333333333333333,1.511857892036909,26.321428571428573,3806.964285714286,737,106595,44.867620632279504,278.5,46.706119599878,15,0.5320166857142343,0.15740799999997862,0.2556133908673844,0,300.0,55.08799999999939,3,0,0
0.3333333333333333,20004,market,28,25,25,23,0,2,0.8214285714285714,0.8928571428571429,48.96521739130435,39.099999999999994,0.99375,5.3,1.7261494247992246,29.782608695652176,4308.173913043478,685,99088,44.01737104825294,249.5,35.53495198655135,17,0.5255065142856551,0.1672591999999783,0.23818652100096677,0,300.0,59.93599999999921,3,0,0
0.3333333333333333,20005,market,28,28,28,26,0,2,0.9285714285714286,1.0,40.50769230769231,31.249999999999993,0.998125,5.323333333333333,0.6998542122237652,25.384615384615383,3562.269230769231,660,92619,35.01910149750415,237.5,47.973120128737435,15,0.5214564571427992,0.13544959999997935,0.2505879969051138,0,300.0,62.951999999999,3,0,0
0.3333333333333333,20006,market,28,28,28,25,2,1,0.8928571428571429,1.0,57.052,39.69999999999999,0.999375,5.33,0.9035079029052513,26.8,3937.12,670,98428,45.044625623960066,272.5,41.090041173107544,11,0.5214027428570838,0.16507839999997836,0.2389069704172545,0,300.0,62.991999999999145,3,0,0
0.3333333333333333,20007,market,28,28,28,28,0,0,1.0,1.0,33.63214285714285,27.200000000000003,1.0,5.333333333333333,1.6035674514745464,24.607142857142858,3245.964285714286,689,90887,26.630582362728795,194.5,31.7143181355519,27,0.5034621714285085,0.10642239999998383,0.25085140708048226,0,300.0,76.3519999999978,3,0,0
0.3333333333333333,21000,market,28,27,27,23,0,4,0.8214285714285714,0.9642857142857143,47.76521739130435,31.099999999999994,0.986875,5.263333333333334,0.7284313590846836,33.0,4684.04347826087,759,107733,37.07717138103162,256.0,23.833343997586645,24,0.5422116571428092,0.1582351999999786,0.2493520380604113,0,300.0,47.496,3,0,0
0.3333333333333333,21001,market,28,28,28,28,0,0,1.0,1.0,25.5,20.549999999999997,1.0,5.333333333333333,0.7284313590846836,20.642857142857142,2376.6071428571427,578,66545,20.86665557404325,200.5,23.139140324890985,21,0.4789791999999264,0.12055999999998059,0.24202589881651276,0,300.0,94.58399999999578,2,0,0
0.3333333333333333,21002,market,28,26,26,21,0,5,0.75,0.9285714285714286,38.58095238095238,27.799999999999997,0.97,5.173333333333333,1.979486637221574,36.904761904761905,5395.333333333333,775,113302,50.740698835274536,300.0,30.570178962721897,19,0.5376459428570882,0.18447999999997772,0.23823159160665552,0,300.0,50.89599999999962,3,0,0
0.3333333333333333,21003,market,28,28,28,28,0,0,1.0,1.0,34.93214285714286,28.3,1.0,5.333333333333333,1.5907898179514348,24.642857142857142,3323.3214285714284,690,93053,31.089051580698825,231.0,25.585776341936644,20,0.5006260571427966,0.09627039999998602,0.2571661056287929,0,300.0,78.46399999999757,3,0,0
0.3333333333333333,21004,market,28,27,27,25,0,2,0.8928571428571429,0.9642857142857143,47.052,41.10000000000002,0.983125,5.243333333333333,0.8806305718527109,26.48,3813.0,662,95325,39.23770382695509,288.5,37.35876222514315,13,0.5300077714285184,0.14432319999997906,0.24867816390319009,0,300.0,56.583999999999705,3,0,0
0.3333333333333333,21005,market,28,28,28,28,0,0,1.0,1.0,40.96785714285714,28.299999999999997,1.0,5.333333333333333,1.7261494247992246,25.464285714285715,3446.4285714285716,713,96500,34.45843594009984,235.5,33.38252967428138,19,0.5210697142856616,0.14123999999997916,0.25946024084780483,0,300.0,63.239999999999,3,0,0
0.3333333333333333,21006,market,22,22,22,22,0,0,1.0,1.0,47.809090909090905,42.55000000000001,1.0,5.333333333333333,1.1952286093343936,25.818181818181817,3636.590909090909,568,80005,34.59816971713808,249.5,29.562017461961695,10,0.5208655999999452,0.1340959999999794,0.2604940647924471,0,300.0,63.39199999999876,3,0,0
0.3333333333333333,21007,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,28.095652173913045,26.30000000000001,1.0,5.333333333333333,1.3997084244475304,28.652173913043477,3772.1304347826085,659,86759,31.160865224625642,231.5,42.5812138708723,26,0.500529371428508,0.1253727999999797,0.2512860305456734,0,300.0,78.53599999999756,2,0,0
0.3333333333333333,21008,market,28,28,28,28,0,0,1.0,1.0,29.685714285714287,24.050000000000004,1.0,5.333333333333333,1.355261854357877,22.428571428571427,2748.3214285714284,628,76953,23.560998336106486,150.0,27.83399354128372,23,0.4977684571427877,0.09649599999998573,0.2366896042296312,0,300.0,80.59199999999724,3,0,0
0.3333333333333333,21009,market,28,25,25,20,0,5,0.7142857142857143,0.8928571428571429,76.47,75.6,0.956875,5.1033333333333335,1.0690449676496976,37.3,5538.35,746,110767,50.59733777038269,284.0,59.85503478365822,15,0.5341222857142323,0.1852319999999777,0.24103771162332793,0,300.0,53.51999999999941,3,0,0
0.3333333333333333,21010,market,28,28,28,28,0,0,1.0,1.0,26.335714285714285,20.000000000000004,1.0,5.333333333333333,0.6388765649999399,23.464285714285715,2938.3571428571427,657,82274,23.95667221297837,142.0,40.18430466073677,21,0.48767017142850067,0.12018399999998107,0.24506511684561047,0,300.0,88.1119999999965,3,0,0
0.3333333333333333,21011,market,28,28,28,28,0,0,1.0,1.0,30.171428571428574,20.5,1.0,5.333333333333333,1.5779087167410373,20.928571428571427,2486.75,586,69629,20.892612312811973,180.5,18.841968172961653,18,0.48585462857135714,0.12183839999998049,0.24296441346516184,0,300.0,89.46399999999635,2,0,0
1.0,20000,market,28,28,28,24,0,4,0.8571428571428571,1.0,30.941666666666666,24.800000000000004,0.973125,5.19,0.8806305718527109,42.833333333333336,6444.083333333333,1028,154658,38.93028286189682,300.0,37.24054035040507,31,0.5123035428570802,0.1611679999999785,0.2403741943498053,0,300.0,69.76799999999852,3,0,0
1.0,20001,market,28,28,28,28,0,0,1.0,1.0,26.321428571428577,23.35000000000001,1.0,5.333333333333333,1.355261854357877,38.214285714285715,5658.035714285715,1070,158425,34.79118136439266,271.0,47.214704218366016,31,0.5034191999999375,0.12582399999997967,0.24978628555258575,0,300.0,76.3839999999978,2,0,0
1.0,20002,market,28,24,24,21,0,3,0.75,0.8571428571428571,63.904761904761905,46.0,0.95375,5.086666666666667,2.641891715558133,49.38095238095238,7764.476190476191,1037,163054,54.77510815307827,300.0,45.672421008393776,22,0.5309316571428015,0.14718079999997896,0.24075013923208494,0,300.0,55.89599999999936,3,0,0
1.0,20003,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,53.06956521739131,34.30000000000001,1.0,5.333333333333333,1.385051387833237,42.56521739130435,6793.434782608696,979,156249,48.427787021630635,288.5,35.70358822507645,18,0.5266559999999438,0.15921279999997856,0.24816108125428077,0,300.0,59.079999999999394,3,0,0
1.0,20004,market,28,28,28,26,0,2,0.9285714285714286,1.0,35.91153846153846,36.35000000000001,1.0,5.333333333333333,0.7284313590846836,38.76923076923077,5928.423076923077,1008,154139,33.843594009983406,233.5,45.144113410905334,25,0.5061801142856496,0.13890879999997924,0.2429855417592625,0,300.0,74.32799999999801,3,0,0
1.0,20005,market,28,28,28,27,0,1,0.9642857142857143,1.0,37.43333333333334,25.700000000000003,0.998125,5.323333333333333,1.355261854357877,38.333333333333336,5842.37037037037,1035,157744,34.683527454242935,292.5,43.973120128737435,30,0.5186740571427962,0.14469919999997904,0.24749295873700963,0,300.0,65.02399999999884,3,0,0
1.0,20006,market,28,28,28,24,4,0,0.8571428571428571,1.0,59.0625,62.75,1.0,5.333333333333333,0.6388765649999399,40.583333333333336,6313.75,974,151530,44.9696838602329,251.5,30.73289831596469,17,0.5099293714285124,0.1374047999999793,0.2500747683103333,0,300.0,71.53599999999832,3,0,0
1.0,20007,market,28,25,25,22,0,3,0.7857142857142857,0.8928571428571429,48.42727272727272,39.7,0.980625,5.23,0.8806305718527109,45.95454545454545,7190.090909090909,1011,158182,42.913544093178054,288.5,49.64536781888295,25,0.5283318857142306,0.17680959999997797,0.24168100215119817,0,300.0,57.8319999999994,3,0,0
1.0,21000,market,28,28,28,27,0,1,0.9642857142857143,1.0,35.88148148148148,29.200000000000003,1.0,5.333333333333333,1.124858267715973,36.81481481481482,5281.555555555556,994,142602,27.268153078203007,279.5,40.89057065022179,25,0.5066527999999335,0.1611679999999785,0.23817198815919832,0,300.0,73.97599999999805,3,0,0
1.0,21001,market,28,28,28,26,0,2,0.9285714285714286,1.0,26.99615384615385,23.69999999999999,1.0,5.333333333333333,0.6388765649999399,38.34615384615385,5341.423076923077,997,138877,21.93890183028286,273.0,30.246283182033842,31,0.4871867428570734,0.11431839999998365,0.24664375570900368,0,300.0,88.47199999999646,2,0,0
1.0,21002,market,28,28,28,25,0,3,0.8928571428571429,1.0,34.244,27.799999999999997,1.0,5.333333333333333,0.8806305718527109,42.4,6218.36,1060,155459,39.541397670549124,283.5,41.28931645965111,27,0.49897165714279185,0.1398111999999792,0.2470633675144946,0,300.0,79.69599999999743,2,0,0
1.0,21003,market,28,28,28,23,1,4,0.8214285714285714,1.0,54.79130434782609,35.69999999999999,1.0,5.333333333333333,2.2677868380553634,47.43478260869565,7416.95652173913,1091,170590,44.94918469217971,229.5,46.47863348479378,26,0.5281277714285101,0.16575519999997834,0.23011396719445484,0,300.0,57.983999999999114,3,0,0
1.0,21004,market,28,26,26,22,0,4,0.7857142857142857,0.9285714285714286,35.12272727272727,29.800000000000004,0.976875,5.21,1.2453996981544782,45.5,7116.590909090909,1001,156565,40.40618968386022,300.0,44.82323805843577,21,0.5147851428570845,0.16244639999997845,0.24831611272841028,0,300.0,67.91999999999871,3,0,0
1.0,21005,market,28,26,26,26,0,0,0.9285714285714286,0.9285714285714286,53.06923076923077,35.699999999999996,0.963125,5.136666666666667,1.2777531299998799,37.26923076923077,5758.115384615385,969,149711,40.2078202995008,300.0,41.242849919648435,20,0.5179113142856535,0.1671087999999783,0.24289820959967404,0,300.0,65.5919999999988,3,0,0
1.0,21006,market,22,22,22,15,1,6,0.6818181818181818,1.0,41.86,39.900000000000006,1.0,5.333333333333333,2.1189138534559038,67.66666666666667,10974.0,1015,164610,43.169883527454246,288.5,27.28929018923442,25,0.5438553142856669,0.1673343999999783,0.2516696861232799,0,300.0,46.272000000000034,3,0,0
1.0,21007,market,28,25,25,22,0,3,0.7857142857142857,0.8928571428571429,39.877272727272725,34.0,0.973125,5.19,1.0301575072754254,47.77272727272727,7425.363636363636,1051,163358,50.89131447587354,300.0,50.93185467386649,23,0.5241099428570838,0.14770719999997894,0.24241178521179835,0,300.0,60.97599999999928,3,0,0
1.0,21008,market,28,28,28,28,0,0,1.0,1.0,29.79642857142857,26.1,1.0,5.333333333333333,1.124858267715973,33.892857142857146,4800.642857142857,949,134418,21.753643926788705,231.0,22.673279255569437,21,0.4962644571427926,0.13537439999997936,0.25122410624799874,0,300.0,81.7119999999972,2,0,0
1.0,21009,market,28,26,26,20,0,6,0.7142857142857143,0.9285714285714286,36.589999999999996,29.249999999999993,0.984375,5.25,0.9258200997725514,51.2,7788.15,1024,155763,42.87134775374375,274.5,65.77115809458687,26,0.507802285714227,0.11386719999998192,0.2574093203040553,0,300.0,73.11999999999816,3,0,0
1.0,21010,market,28,28,28,27,0,1,0.9642857142857143,1.0,40.888888888888886,23.099999999999994,0.99125,5.286666666666667,0.989743318610787,36.74074074074074,5215.814814814815,992,140827,25.04492512479201,298.5,38.68430466073677,23,0.495340571428505,0.12732799999997962,0.25022265874240324,0,300.0,82.39999999999714,3,0,0
1.0,21011,market,28,28,28,27,0,1,0.9642857142857143,1.0,31.281481481481478,21.19999999999999,1.0,5.333333333333333,1.178030178747903,35.0,5029.407407407408,945,135794,19.40642262895174,204.5,12.395539601533082,24,0.4977577142856467,0.1582351999999786,0.23996774978043423,0,300.0,80.59999999999732,3,0,0
3.0,20000,market,28,25,25,25,0,0,0.8928571428571429,0.8928571428571429,34.391999999999996,28.19999999999999,0.9975,5.32,0.8806305718527109,47.68,7941.8,1192,198545,34.114242928452576,252.5,31.596802640447596,25,0.508393142857076,0.14973759999997888,0.23252581653560098,0,300.0,72.6799999999982,3,0,0
